Item,Quantidade,Unid.,Tipo Cota,Descrição,Vl. Unitário,Vl. Total
220,750,FRC,Aberta,"FOSFATO SÓDICO DE PREDNISOLONA 3 MG/ML -  XAROPE 100ML","R$18,72","R$14.040,00"
221,11250,COMP,Aberta,"FUMARATO DE BISOPROLOL 2,5 MG","R$1,01","R$11.362,50"
222,22500,COMP,Aberta,FUMARATO DE BISOPROLOL 5 MG,"R$1,00","R$22.500,00"
223,225,FRC,Aberta,"FUMARATO DE FLUTICASONA 27,5MCG SPRAY NASAL -CONTENDO 120 DOSES","R$44,18","R$9.940,50"
224,38,CX,Aberta,"FUMARATO DE FORMOTEROL DI-HIDRATADO 12 MCG,BUDESONIDA 400 MCG COM 60 CÁPSULAS E COM INALADOR","R$1,98","R$75,24"
225,188,TB,Aberta,FUROATO DE MOMETASONA 1 MG CREME COM 20 GRAMAS,"R$17,32","R$3.256,16"
226,2250,AMP,Aberta,FUROSEMIDA 10 MG/ML COM 2 ML,"R$2,45","R$5.512,50"
227,2250,COMP,Aberta,GABAPENTINA 300 MG,"R$1,00","R$2.250,00"
228,375,COMP,Aberta,GABAPENTINA 400 MG,"R$1,19","R$446,25"
229,11250,CP,Aberta,GLICAZIDA MR 30 MG,"R$0,69","R$7.762,50"
230,6000,COMP,Aberta,GLICAZIDA MR 60 MG,"R$0,89","R$5.340,00"
231,38,AMP,Aberta,GLICONATO DE CÁLCIO 10% - AMPOLA COM 10ML,"R$5,49","R$208,62"
232,1500,AMP,Aberta,GLICOSE 25% INJETÁVEL - C/ 10 ML,"R$0,60","R$900,00"
233,9000,CP,Aberta,GLIMEPIRIDA 2 MG,"R$0,43","R$3.870,00"
234,3750,CP,Aberta,HALOPERIDOL 01MG,"R$0,18","R$675,00"
235,38,AMP,Aberta,HALOPERIDOL 5MG/ML INJETAVEL,"R$8,19","R$311,22"
236,38,AMP,Aberta,HEMITARTARATO DE EPINEFRINA 1 MG/ML COM 1 ML,"R$2,40","R$91,20"
237,6000,COMP,Aberta,HEMITARTARATO DE ZOLPIDEM 10MG,"R$0,85","R$5.100,00"
238,375,AMP,Aberta,HIDROCORTISONA 100 MG - AMPOLA INJETÁVEL - DIL COM 2 ML,"R$3,80","R$1.425,00"
239,750,AMP,Aberta,HIDROCORTISONA 500 MG - AMPOLA INJETÁVEL - DIL C/ 4 ML,"R$11,60","R$8.700,00"
240,225,FRC,Aberta,"HIDROXIDO DE ALUMINIO 6,2% SUSPENSÃO ORAL - FRASCO COM150ML","R$11,00","R$2.475,00"
241,15,FRC,Aberta,"HIDROXIPROPIL GUAR 8A,POLIETILENOGLICOL 400,ÁCIDOBÓRICO PROPILENOGLICOL,SORBITOL CLORETO DESÓDIO,CLORETO DE POTÁSSIO,POLIQUATERNIUM-1,AMINOMETILPROPANOL HIDRÓXIDO DE SÓDIO E /OU ACIDOCLORÍDICO E ÁGUA PURIFICADA-FRASCO PLÁSTICO CONTAGOTAS 10 ML","R$44,59","R$668,85"
242,4500,FRC,Aberta,IBUPROFENO 100 MG GOTAS 20ML,"R$9,35","R$42.075,00"
243,11250,CP,Aberta,IBUPROFENO 600MG,"R$0,84","R$9.450,00"
244,2250,CP,Aberta,"INDAPAMIDA 1,5MG","R$0,54","R$1.215,00"
245,38,FRC,Aberta,INSULINA ASPARTE 100U/ML FRASCO COM 10 ML,"R$101,63","R$3.861,94"
246,38,FRC,Aberta,"INSULINA DEGLUDECA 100 UI/ML + LIRAGLUTIDA 3,6MG/ML -COM 3MG","R$185,96","R$7.066,48"
247,75,FRC,Aberta,INSULINA DEGLUDECA 100 UI/ML COM 3 ML+1 APLICADOR,"R$130,61","R$9.795,75"
248,75,FRC,Aberta,INSULINA DEGLUDECA 100UI/ML CANETA 3 ML,"R$116,47","R$8.735,25"
249,75,FRC,Aberta,INSULINA DETEMIR 100U/ML FRASCO COM 3ML,"R$79,62","R$5.971,50"
250,38,FRC,Aberta,INSULINA GLARGINA 100 U/ ML FRASCO COM 10 ML,"R$255,33","R$9.702,54"
251,75,FRC,Aberta,"INSULINA LISPRO SOLUÇÃO INJETÁVEL 100 UI/ML FRASCO COM10 ML","R$110,74","R$8.305,50"
252,750,CP,Aberta,IVERMECTINA 6 MG,"R$2,63","R$1.972,50"
253,3000,COMP,Aberta,LACTASE 9.000FCC,"R$1,59","R$4.770,00"
254,375,FRC,Aberta,LACTULOSE 667 MG/ML - FRASCO COM 120 ML,"R$19,29","R$7.233,75"
255,4500,COMP,Aberta,LAMOTRIGINA 100 MG,"R$1,08","R$4.860,00"
256,7500,COMP,Aberta,LAMOTRIGINA 25 MG,"R$0,42","R$3.150,00"
257,7500,CP,Aberta,LAMOTRIGINA 50 MG,"R$0,47","R$3.525,00"
258,4500,COMP,Aberta,LANSOPRAZOL 30 MG,"R$1,99","R$8.955,00"
259,3750,COMP,Aberta,LEVETIRACETAM 250 MG,"R$1,56","R$5.850,00"
260,3750,COMP,Aberta,LEVETIRACETAM 750MG - KEPPRA,"R$10,68","R$40.050,00"
261,6000,COMP,Aberta,LEVODOPA 200 MG + CLORIDRATO DE BENSERAZIDA 50 MG,"R$2,66","R$15.960,00"
262,3000,COMP,Aberta,LEVOFLOXACINO 500 MG,"R$5,79","R$17.370,00"
263,9000,CP,Aberta,LEVOTIROXINA SÓDICA 100 MCG,"R$0,27","R$2.430,00"
264,9000,COMP,Aberta,LEVOTIROXINA SÓDICA 25 MCG,"R$0,28","R$2.520,00"
265,10500,COMP,Aberta,LEVOTIROXINA SÓDICA 50 MCG,"R$0,21","R$2.205,00"
266,10500,COMP,Aberta,LEVOTIROXINA SÓDICA 75 MCG,"R$0,23","R$2.415,00"
267,38,FRC,Aberta,"LIDOCAINA, SULFATO DE NEOMICINA, HIALURONIDASE - FRC/ 8ML + 1 AMPOLA - OTOLÓGICO","R$18,63","R$707,94"
268,900,COMP,Aberta,LINAGLIPTINA 5 MG,"R$4,29","R$3.861,00"
269,1800,COMP,Aberta,LOXOPROFENO SÓDICO 60 MG,"R$1,52","R$2.736,00"
270,375,FRC,Aberta,"MALEATO DE DEXCLORFENIRAMINA 2 MG, BETAMETASONA0,5ML  XAROPE FRASCO COM 120 ML","R$14,24","R$5.340,00"
271,750,FRC,Aberta,"MALEATO DE DEXCLORFENIRAMINA XAROPE 2MG/5ML - FRC C/100 ML","R$4,67","R$3.502,50"
272,375,COMP,Aberta,MELOXICAM 15 MG,"R$1,75","R$656,25"
273,7500,CP,Aberta,MESILATO DE DOXAZOSINA 2 MG,"R$0,86","R$6.450,00"
274,4500,CP,Aberta,MESILATO DE DOXAZOSINA 4MG,"R$1,14","R$5.130,00"
275,750,CP,Aberta,"MESILATO DE DÜDROERGOCRISTINA 3 MG + DICLORIDRATO DEFLUNARIZINA 10 MG","R$8,72","R$6.540,00"
276,38,AMP,Aberta,MIDAZOLAN 15 MG COM 3 ML,"R$3,97","R$150,86"
277,900,COMP,Aberta,MIRTAZAPINA 30 MG,"R$1,89","R$1.701,00"
278,7500,COMP,Aberta,MONIDRATO DE ISOSSORBIDA 20 MG,"R$0,23","R$1.725,00"
279,1500,COMP,Aberta,MONIDRATO DE ISOSSORBIDA 5 MG  SUB LINGUAL,"R$0,40","R$600,00"
280,750,CP,Aberta,MONTELUCASTE DE SÓDIO 10 MG,"R$1,58","R$1.185,00"
281,750,COMP,Aberta,MONTELUCASTE DE SÓDIO 5 MG,"R$1,33","R$997,50"
282,750,COMP,Aberta,MONTELUCASTE SODICO 4 MG,"R$1,46","R$1.095,00"
283,1500,SACHE,Aberta,MONTELUCASTE SÓDICO 4 MG SACHE,"R$2,02","R$3.030,00"
284,7500,COMP,Aberta,NIFEDIPINO 20MG,"R$0,27","R$2.025,00"
285,1125,COMP,Aberta,NIFEDIPINO RETARD 20MG,"R$0,48","R$540,00"
286,11250,COMP,Aberta,NIMESULIDA 100MG,"R$0,21","R$2.362,50"
287,750,FRC,Aberta,NIMESULIDA 50 MG/ML -  GOTAS COM 15 ML,"R$10,70","R$8.025,00"
288,2250,COMP,Aberta,NIMODIPINA 30MG,"R$1,00","R$2.250,00"
289,4500,TB,Aberta,"NISTATINA 100.000 UI/G+ÓXIDO DE ZINCO 20 MG/G POMADA60G","R$18,52","R$83.340,00"
290,750,TB,Aberta,"NISTATINA 25.000 UI/G CREME VAGINAL - TB C/ 60 G + 10APLICADORES","R$12,02","R$9.015,00"
291,750,FRC,Aberta,NISTATINA SUSPENSÃO ORAL 100.000 UI - FRASCO C/ 50ML,"R$14,97","R$11.227,50"
292,900,CP,Aberta,NITRAZEPAM 5MG,"R$0,31","R$279,00"
293,2250,COMP,Aberta,NITRENDIPINO 10 MG,"R$0,58","R$1.305,00"
294,5250,CP,Aberta,NORFLOXACINO 400 MG,"R$0,88","R$4.620,00"
295,375,FRC,Aberta,ÓLEO MINERAL - FR C/ 100 ML,"R$4,48","R$1.680,00"
296,750,COMP,Aberta,OLMESARTANA MEDOXOMILA 20 MG,"R$1,62","R$1.215,00"
297,750,COMP,Aberta,"OLMESARTANA MEDOXOMILA 20 MG + HIDROCLOROTIAZIDA12,5 MG","R$1,14","R$855,00"
298,750,COMP,Aberta,"OLMESARTANA MEDOXOMILA 40 MG BESILATO DE ANLODIPINO5 MG","R$2,45","R$1.837,50"
299,750,COMP,Aberta,"OLMESARTANA MEDOXOMILA 40 MG,HIDROCLOROTIAZIDA 12,5MG","R$1,29","R$967,50"
300,60000,COMP,Aberta,OMEPRAZOL 20MG,"R$0,21","R$12.600,00"
301,750,AMP,Aberta,OMEPRAZOL 40 MG PÓ LIOFILO + SOL DILUENTE 10ML,"R$26,55","R$19.912,50"
302,525,COMP,Aberta,"OMEPRAZOL MAGNÉSIO - LOSEC MUPS 10 MG ( NECESSÁRIO OMEDICAMENTO ÉTICO)","R$6,10","R$3.202,50"
303,750,COMP,Aberta,ONDANSETRONA 4MG CPD SUB LINGUAL,"R$2,67","R$2.002,50"
304,150,AMP,Aberta,ONDANSETRONA 8MG AMPOLA 2ML,"R$77,14","R$11.571,00"
305,750,COMP,Aberta,ONDANSETRONA 8MG CPD SUB LINGUAL,"R$5,21","R$3.907,50"
306,3750,COMP,Aberta,OXALATO DE ESCITALOPRAM 10 MG,"R$1,14","R$4.275,00"
307,75,FRC,Aberta,"OXALATO DE ESCITALOPRAM SOLUÇÃO ORAL 20 MG/ML COM 15ML","R$78,64","R$5.898,00"
308,3750,COMP,Aberta,OXALATO DE ESCITALOPRAN 15 MG,"R$3,34","R$12.525,00"
309,6000,COMP,Aberta,OXALATO DE ESCITALOPRAN 20 MG,"R$2,49","R$14.940,00"
310,6000,CP,Aberta,OXCARBAMAZEPINA 300 MG,"R$0,86","R$5.160,00"
311,2250,COMP,Aberta,OXCARBAMAZEPINA 600 MG,"R$1,65","R$3.712,50"
312,3750,TB,Aberta,"PALMITATO DE RETINOL (VITAMINA A) 5.000 UI +COLECALCIFEROL (VITAMINA D) 900 UI + ÓXIDO DE ZINCO 150MG - TUBO COM 45 GRS","R$9,17","R$34.387,50"
313,1050,COMP,Aberta,PANTOPRAZOL 20MG,"R$0,37","R$388,50"
314,1050,CP,Aberta,PANTOPRAZOL 40 MG,"R$0,26","R$273,00"
315,2250,CP,Aberta,"PARACETAMOL 300 MG + CARISOPRODOL 125 MG +DICLOFENACO SÓDICO 50 MG + CAFEÍNA 30 MG","R$0,37","R$832,50"
316,18750,CP,Aberta,PARACETAMOL 500 MG,"R$0,40","R$7.500,00"
317,2250,CP,Aberta,PAROXETINA 20 MG,"R$0,95","R$2.137,50"
318,750,COMP,Aberta,PAROXETINA CR 25MG,"R$4,60","R$3.450,00"
319,900,COMP,Aberta,PENTOXIFILINA 400MG,"R$1,14","R$1.026,00"
320,23,FRC,Aberta,PERICIAZINA SOLUÇÃO ORAL 4% (1MG/GOTA)  - FRC C/ 20 ML,"R$17,50","R$402,50"
321,750,COMP,Aberta,PIROXICAM 20MG,"R$0,69","R$517,50"
322,450,COMP,Aberta,PITAVASTATINA CÁLCICA 2MG,"R$2,28","R$1.026,00"
323,7500,COMP,Aberta,POLIVITAMINICO DO COMPLEXO B,"R$0,25","R$1.875,00"
324,11250,CP,Aberta,POLIVITAMINICO E SAIS MINERAIS,"R$1,11","R$12.487,50"
325,188,FRC,Aberta,"POLIVITAMINICO, POLIMINERAIS E VITAMINA  -  FRASCO COM240 ML","R$29,18","R$5.485,84"
326,1500,CP,Aberta,PRAVASTATINA 40 MG,"R$3,01","R$4.515,00"
327,3750,COMP,Aberta,PREDNISOLONA 20 MG,"R$0,78","R$2.925,00"
328,3750,CP,Aberta,PREDNISONA 20 MG,"R$0,38","R$1.425,00"
329,3750,CP,Aberta,PREDNISONA 5 MG,"R$0,21","R$787,50"
330,2250,COMP,Aberta,PREGABALINA 150 MG,"R$2,22","R$4.995,00"
331,2250,COMP,Aberta,PREGABALINA 75 MG,"R$1,44","R$3.240,00"
332,1500,COMP,Aberta,PROGESTERONA MICRONIZADA 200 MG - CAPSULA GELATINOSA,"R$3,40","R$5.100,00"
333,375,AMP,Aberta,"PROMETAZINA 25 MG/ML SOLUÇÃO INJETAVEL - AMPOLA C/ 2ML","R$2,55","R$956,25"
334,11250,COMP,Aberta,PROPATILNITRATO 10MG,"R$0,46","R$5.175,00"
335,150,TB,Aberta,"PROPIONATO DE CLOBETASOL 0,5 MG/G POMADA C/ 30 G","R$10,49","R$1.573,50"
336,3750,CP,Aberta,RAMIPRIL 5MG,"R$1,77","R$6.637,50"
337,375,FRC,Aberta,RIFAMICINA 10 MG/ML SPRAY COM 20 ML,"R$11,77","R$4.413,75"
338,450,COMP,Aberta,RISPERIDONA 01MG,"R$0,70","R$315,00"
339,450,COMP,Aberta,RISPERIDONA 02MG,"R$0,39","R$175,50"
340,300,FRC,Aberta,RISPERIDONA 1 MG/ML SOL ORAL C/ 30 ML,"R$44,55","R$13.365,00"
341,900,COMP,Aberta,RIVAROXABANA 10 MG,"R$7,94","R$7.146,00"
342,2100,COMP,Aberta,RIVAROXABANA 15 MG,"R$7,94","R$16.674,00"
343,4200,COMP,Aberta,RIVAROXABANA 20 MG,"R$7,83","R$32.886,00"
344,4500,COMP,Aberta,ROSUVASTATINA CÁLCICA 10 MG,"R$0,80","R$3.600,00"
345,2250,COMP,Aberta,ROSUVASTATINA CÁLCICA 20 MG,"R$1,20","R$2.700,00"
346,3750,COMP,Aberta,ROSUVASTATINA CÁLCICA 5MG,"R$0,93","R$3.487,50"
347,75,AMP,Aberta,"SACARATO DE HIDRÓXIDO DE FERRO III SOLUÇÃO INJETÁVELENDOVENOSA FRC C/5ML","R$12,58","R$943,50"
348,3000,ENV,Aberta,"SACCHAROMYCES BOULARDII - 17 LIOFLIZADO - ENV. C/ 1G PÓUSO PEDIATRICO","R$2,71","R$8.130,00"
349,3000,SACHE,Aberta,SACCHAROMYCES BOULARDII - 17 LIOFLIZADO 100 MG,"R$4,34","R$13.020,00"
350,1500,FLAC,Aberta,"SACCHAROMYCES CEREVISIAE 100 MILHÕES / ML FRASCO COM 5ML","R$7,19","R$10.785,00"
351,1500,FLAC,Aberta,"SACCHAROMYCES CEREVISIAE 50 MILHÕES / ML FRASCO COM 5ML","R$5,57","R$8.355,00"
352,900,CP,Aberta,SACUBITRIL VALSARTANA SÓDICA HIDRATADA 97/103 MG,"R$4,67","R$4.203,00"
353,600,COMP,Aberta,SECNIDAZOL 1.000 MG,"R$4,23","R$2.538,00"
354,4500,FRC,Aberta,SIMETICONA 75MG/ML GOTAS FRASCO COM 10ML,"R$2,77","R$12.465,00"
355,11250,COMP,Aberta,SUCCINATO DE METOPROLOL 25 MG,"R$0,40","R$4.500,00"
356,12000,COMP,Aberta,SUCCINATO DE METROPOLOL 50 MG,"R$0,78","R$9.360,00"
357,450,COMP,Aberta,SUCCINATO DE SOLIFENACINA 5 MG,"R$4,15","R$1.867,50"
358,75,AMP,Aberta,"SULF.TERBUTALINA 0,5 MG COM 1 ML","R$1,39","R$104,25"
359,1500,COMP,Aberta,"SULFADIAZINA 800MG, TRIMETOPINA 160MG","R$1,16","R$1.740,00"
360,525,TB,Aberta,SULFADIAZINA DE PRATA 1% 30 G,"R$6,79","R$3.564,75"
361,38,AMP,Aberta,"SULFATO DE ATROPINA 0,25 MG/ ML","R$1,08","R$41,04"
362,11250,SACHE,Aberta,"SULFATO DE GLICOSAMINA 1,5 G,SULFATO DE CONDROITINA1,2G","R$4,83","R$54.337,50"
363,3750,COMP,Aberta,"SULFATO DE GLICOSAMINA 500MG, SULFATO DE CONDROITINA400MG","R$2,73","R$10.237,50"
364,3750,COMP,Aberta,SULFATO DE MORFINA 10 MG,"R$0,73","R$2.737,50"
365,3750,COMP,Aberta,SULFATO DE MORFINA 30 MG,"R$1,85","R$6.937,50"
366,150,AMP,Aberta,"SULFATO DE MORFINA PENTAIDRATADO 1MG/ML INJETÁVEL -AMPOLA DE 2ML","R$5,54","R$831,00"
367,150,AMP,Aberta,"SULFATO DE MORFINA PENTAIDRATO 10MG/ML INJETÁVEL -AMPOLA DE 1ML","R$60,73","R$9.109,50"
368,1500,TB,Aberta,"SULFATO DE NEOMICINA + BACITRACINA 5 MG/250 UI - TUBOCOM 10 G","R$8,03","R$12.045,00"
369,11250,COMP,Aberta,SULFATO FERROSO 40 MG,"R$0,23","R$2.587,50"
370,7500,COMP,Aberta,SUPLEMENTO DE VITAMINAS E MINERAIS DE A a ZINCO,"R$0,97","R$7.275,00"
371,300,UN,Aberta,SUPOSITORIO DE GLICERINA LACTENTE,"R$2,01","R$603,00"
372,2250,CP,Aberta,"TIBOLONA 2,5 MG","R$1,02","R$2.295,00"
373,750,COMP,Aberta,TICAGRELOR 90 MG,"R$4,98","R$3.735,00"
374,375,FRC,Aberta,"TOBRAMICINA 3 MG, DEXAMETASONA 01 MG - FRC C/ 5 MLSOLUÇÃO OFTÁLMICA","R$27,76","R$10.410,00"
375,375,FRC,Aberta,TOBRAMICINA 3 MG/ML - FRC C/ 05 ML SOLUÇÃO OFTÁLMICA,"R$15,71","R$5.891,25"
376,1500,COMP,Aberta,TOPIRAMATO 100MG,"R$1,00","R$1.500,00"
377,3750,CP,Aberta,TOPIRAMATO 25 MG,"R$0,59","R$2.212,50"
378,4500,COMP,Aberta,TOPIRAMATO 50 MG,"R$0,91","R$4.095,00"
379,1500,COMP,Aberta,"TRILEPTAL OXCARBAMAZEPINA 600 MG (É NECESSÁRIO OMEDICAMENTO ÉTICO)","R$4,45","R$6.675,00"
380,19,FRC,Aberta,TROMETAMOL CETOROLACO 5 MG COLIRIO COM 5 ML,"R$33,42","R$634,98"
381,300,TB,Aberta,"VALERATO DE BETAMETASONA 0,05%, SULFATO DEGENTAMICINA 0,1%, TOLNAFTATO 1%, CLIOQUINOL 1% - TUBOC/ 20 G","R$16,88","R$5.064,00"
382,2250,COMP,Aberta,"VALPROATO DE SÓDIO 333 MG,ÁCIDO VALPROICO 145,0 MG","R$1,54","R$3.465,00"
383,1500,COMP,Aberta,VALSARTANA + BESILATO DE ANLODIPINO 160/5MG,"R$3,03","R$4.545,00"
384,4500,COMP,Aberta,VALSARTANA 160 MG,"R$1,76","R$7.920,00"
385,4500,COMP,Aberta,VALSARTANA 320 MG,"R$2,13","R$9.585,00"
386,900,COMP,Aberta,VALSARTANA 320 MG + ANLODIPINO 10 MG,"R$3,89","R$3.501,00"
387,3750,COMP,Aberta,VARFARINA SÓDICA 5MG,"R$0,18","R$675,00"
388,4200,COMP,Aberta,"VILDAGLIPTINA 50 MG,CLORIDRATO DE METFORMINA 850 MG","R$3,61","R$15.162,00"
389,750,AMP,Aberta,"VIT. B1 (CLORIDRATO DE TIAMINA) 100 MG, VIT. B6(CLORIDRATO DE PIRIDOXINA) 100 MG, VIT. B12(CIANOCOBALAMINA) 5000 MCG 2 ML","R$4,27","R$3.202,50"
390,3000,COMP,Aberta,VITAMINA E 400MG,"R$0,90","R$2.700,00"
COTA RESERVADA 25%,,,,,,
391,300,FRC,Reservada,"ACEBROFILINA 05 MG/ ML X FR C/ 120 ML ( XAROPE INFANTIL)+ COPO MED.","R$10,21","R$3.063,00"
392,300,FRC,Reservada,"ACEBROFILINA 10 MG/ML X FR C/  120 ML (XAROPE ADULTO) +COPO MED.","R$13,55","R$4.065,00"
393,6,FRC,Reservada,"ACETATO DE FLUORMETOLONA OFTÁLMICA 0,1%","R$23,64","R$141,84"
394,250,TB,Reservada,"ACETATO DE HIDROCORTISONA 0,5% + LIDOCAÍNA BASE 2,0% +SUBGALATO DE BISMUTO 2,0% + ÓXIDO DE ZINCO 10,0%POMADA TUBO COM 25G","R$34,96","R$8.740,00"
395,125,TB,Reservada,"ACETATO DE HIDROCORTISONA 5 MG,SULFATO DE NEOMICINA 5MG,TROXERRUTINA 20MG,ÁCIDO ASCÓRBICO 50MG,BENZOCAÍNA 2 MG TUBO COM 10 GRAMAS","R$19,02","R$2.377,50"
396,250,FRC,Reservada,"ACETATO DE RETINOL (VITAMINA A) 50.000 U.I.COLECALCIFEROL (VITAMINA D) 10.000 U.I. COM 20 ML","R$11,34","R$2.835,00"
397,250,AMP,Reservada,ACETILCISTEÍNA 100MG/ML INJETÁVEL AMP COM 3ML,"R$1,93","R$482,50"
398,250,SACHE,Reservada,ACETILCISTEINA 600 MG  COM 5 GRS CADA,"R$2,20","R$550,00"
399,125,FRC,Reservada,ACETILCISTEÍNA XAROPE ADULTO 40 MG/ML COM 120 ML,"R$31,36","R$3.920,00"
400,125,FRC,Reservada,"ACETILCISTEÍNA XAROPE PEDIÁTRICO 20MG/ML - FRASCO COM120ML","R$16,15","R$2.018,75"
401,250,TB,Reservada,"ACETONIDO DE TRIANCINOLONA 1MG/G BISNAGA C/ 10GPOMADA ORAL","R$7,79","R$1.947,50"
402,250,TB,Reservada,ACICLOVIR  50 MG/G X CREME DERMATÓLOGICO 10 GR,"R$14,00","R$3.500,00"
403,20000,CP,Reservada,ÁCIDO ACETILSALICILICO 100 MG,"R$0,10","R$2.000,00"
404,750,COMP,Reservada,"ÁCIDO ACETILSALICILICO 100MG, GLICINATO DE ALUMÍNIO15MG, CARBONATO DE MAGNESIO 30MG - COMPRIMIDOTAMPONADO CARDIO","R$0,53","R$397,50"
405,250,CP,Reservada,ÁCIDO ACETILSALICÍLICO TAMPONADO 81MG,"R$0,41","R$102,50"
406,250,AMP,Reservada,"ÁCIDO ASCÓRBICO ( VITAMINA C )  100MG/ML INJETÁVEL AMP.C/ 5 ML","R$1,34","R$335,00"
407,7500,COMP,Reservada,ÁCIDO FÓLICO 5 MG,"R$0,12","R$900,00"
408,250,TB,Reservada,ACIDO MUCOPOLISSACARIDO- POLISSULFURICO 500MG,"R$17,46","R$4.365,00"
409,150,COMP,Reservada,ÁCIDO TIÓCTICO 600 MG,"R$4,58","R$687,00"
410,25,AMP,Reservada,ÁCIDO TRANEXÂMICO 50 MG/ML AMPOLA,"R$11,36","R$284,00"
411,125,FRC,Reservada,ÁCIDO VALPRÓICO 50 MG/ML COM 100 ML - DEPAKENE,"R$11,78","R$1.472,50"
412,2500,FRC,Reservada,ÁGUA DESTILADA C/ 10ML,"R$1,61","R$4.025,00"
413,500,AMP,Reservada,ÁGUA DESTILADA COM 5ML,"R$0,36","R$180,00"
414,125,FRC,Reservada,ALBENDAZOL 40 MG/ML SUSP. ORAL - FRC C/ 10 ML,"R$4,36","R$545,00"
415,50,FRC,Reservada,ALBUMINA HUMANA 20% 50 ML,"R$233,67","R$11.683,50"
416,250,COMP,Reservada,ALENDRONATO SÓDICO 70 MG,"R$3,21","R$802,50"
417,7500,COMP,Reservada,ALOPURINOL 300MG,"R$0,35","R$2.625,00"
418,1050,COMP,Reservada,"ALPRAZOLAM 0,5 MG","R$0,36","R$378,00"
419,2250,COMP,Reservada,ALPRAZOLAM 1 MG,"R$0,26","R$585,00"
420,750,COMP,Reservada,ALPRAZOLAM 2 MG,"R$0,59","R$442,50"
421,37,TB,Reservada,"AMINOÁCIDOS, CLORAFENICOL, VITAMINA A, ANÁLOGOS EDERIVADOS - POMADA OFTÁLMICA - TB C/ 3,5 G.","R$11,30","R$418,10"
422,2000,COMP,Reservada,AMINOFILINA 100MG,"R$0,18","R$360,00"
423,300,COMP,Reservada,AMOXICILINA + CLAVULANATO DE POTÁSSIO 875/125 MG,"R$6,25","R$1.875,00"
424,250,FRC,Reservada,"AMOXICILINA 400MG/5ML, ÁCIDO CLAVULÂNIO 57MG/5MLSUSPENSÃO FRASCO COM 70 ML","R$36,63","R$9.157,50"
425,300,COMP,Reservada,AMOXICILINA 500MG + CLAVULANATO DE POTÁSSIO 125MG,"R$3,23","R$969,00"
426,375,COMP,Reservada,"APIXABANA 2,5 MG","R$4,33","R$1.623,75"
427,375,COMP,Reservada,APIXABANA 5 MG,"R$4,33","R$1.623,75"
428,150,COMP,Reservada,ARIPIPRAZOL 15MG,"R$6,75","R$1.012,50"
429,125,FRC,Reservada,"AZITROMICINA 40 MG/ML PÓ PARA SUSPENSÃO ORAL X 15 ML +DILUENTE FR PLA X 9 ML + SER. DOSADORA","R$24,20","R$3.025,00"
430,3000,COMP,Reservada,AZITROMICINA 500MG,"R$4,72","R$14.160,00"
431,1500,COMP,Reservada,BENFOTIAMINA 150 MG,"R$2,00","R$3.000,00"
432,375,COMP,Reservada,BENZOATO ALOGLIPTINA 25MG,"R$2,79","R$1.046,25"
433,300,COMP,Reservada,BENZOATO ALOGLIPTINA 25MG + PIOGLITAZONA 30MG,"R$4,34","R$1.302,00"
434,15000,CP,Reservada,BESILATO DE ANLODIPINO 5 MG,"R$0,35","R$5.250,00"
435,150,CP,Reservada,BESILATO DE ANLODIPINO 5MG + ATENOLOL 25MG,"R$1,82","R$273,00"
436,1500,COMP,Reservada,"BESILATO DE LEVANLODIPINO 2,5 MG","R$1,55","R$2.325,00"
437,2500,CP,Reservada,BETAISTINA DICLORIDRATO 16MG,"R$0,31","R$775,00"
438,4500,CP,Reservada,BETAISTINA DICLORIDRATO 24MG,"R$0,38","R$1.710,00"
439,12,AMP,Reservada,"BICARBONATO DE SÓDIO 8,4% SOLUÇÃO EM FRASCO DE VIDROINCOLOR C/10 ML","R$1,13","R$13,56"
440,250,COMP,Reservada,BISACODIL 5MG,"R$0,30","R$75,00"
441,7500,CP,Reservada,BISSULFATO DE CLOPIDOGREL 75 MG,"R$0,69","R$5.175,00"
442,6,FRC,Reservada,"BRINZOLAMIDA 10MG/ML,DEXTROTARTARATO DEBRIMONIDINA  2MG/ML MARCA SIMBRIZA","R$94,68","R$568,08"
443,1500,CP,Reservada,BROMAZEPAM 3 MG,"R$0,39","R$585,00"
444,125,FRC,Reservada,"BROMETO DE IPRATRÓPIO 0,250 MG/ML C/ 20 ML","R$3,80","R$475,00"
445,125,FRC,Reservada,BROMIDRATO DE FENOTEROL GOTAS 5MG/ML FRC COM 20 ML,"R$9,43","R$1.178,75"
446,500,AMP,Reservada,BROMOPRIDA 05 MG/ML SOL. INJETAVEL - AMP. C/ 2 ML,"R$2,55","R$1.275,00"
447,2500,COMP,Reservada,BROMOPRIDA 10 MG,"R$0,77","R$1.925,00"
448,625,FRC,Reservada,BROMOPRIDA 4 MG/ML GTS COM 20 ML,"R$10,00","R$6.250,00"
449,125,FRC,Reservada,BUDESONIDA 32 MCG SUSPENSÃO NASAL 10 ML - C/ 120 DOSES,"R$13,70","R$1.712,50"
450,125,FRC,Reservada,"BUDESONIDA 50 MCG SUSPENSÃO NASAL COM 10 ML AQUOSOCOM 120 DOSES","R$27,43","R$3.428,75"
451,250,CP,Reservada,BUPROPIONA 150MG,"R$1,75","R$437,50"
452,2000,CP,Reservada,BUTILBROMETO DE ESCOPOLAMINA 10 MG,"R$1,01","R$2.020,00"
